generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,223,110,304,98.281,425.97,749,35.025,0.9527,0.0722,6.00413
2,2000,30,131,78,134,104.766,406.03,885,31.502,0.9634,0.0991,6.19118
3,3000,30,177,116,231,111.878,494.53,963,40.936,0.9309,0.2856,5.72507
4,4000,30,123,73,199,114.739,516.03,985,44.592,0.9058,0.1738,4.58821
5,5000,30,142,146,220,115.113,526.03,984,46.309,0.8972,0.361,3.71473
6,6000,29,188,161,243,126.757,543.31,983,48.737,0.8701,0.3047,3.15355
