generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,310,337,385,109.706,294.6,600,26.809,0.9365,0.5452,6.48956
2,2000,30,102,355,236,112.044,475.67,924,45.247,0.9209,0.4657,6.16323
3,3000,30,534,513,756,156.459,493.6,923,56.018,0.8508,0.4602,5.90829
4,4000,30,773,576,856,169.319,492.6,922,56.789,0.8381,0.7244,5.22633
5,5000,30,587,503,1198,141.462,497.97,921,47.492,0.8437,0.4625,4.15835
6,6000,30,773,494,910,158.166,496.97,920,48.194,0.8397,0.2705,2.64114
