generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture
1,1000,99,510,475,508,106.952,99.22,235,9.494,0.9873,0.3567
2,2000,100,893,455,1485,103.081,108.9,312,11.754,0.9714,0.1701
3,3000,99,312,292,381,106.778,105.09,225,10.333,0.9815,0.3787
4,4000,100,785,575,743,94.83,154.22,402,23.673,0.9671,0.9963
